"338 [ 26, 13 ] as ad"	36989	73.98%
"754 [ 39, 13 ] ac ad"	36891	73.78%
"741 [ 39, 0 ] ac ah"	36868	73.74%
"767 [ 39, 26 ] ac as"	36854	73.71%
"325 [ 26, 0 ] as ah"	36842	73.68%
"78 [ 13, 0 ] ad ah"	36832	73.66%
"312 [ 25, 12 ] kd kh"	34724	69.45%
"1287 [ 51, 12 ] kc kh"	34638	69.28%
"715 [ 38, 12 ] ks kh"	34588	69.18%
"728 [ 38, 25 ] ks kd"	34572	69.14%
"1313 [ 51, 38 ] kc ks"	34566	69.13%
"1300 [ 51, 25 ] kc kd"	34552	69.10%
"1262 [ 50, 37 ] qc qs"	32861	65.72%
"1236 [ 50, 11 ] qc qh"	32710	65.42%
"287 [ 24, 11 ] qd qh"	32697	65.39%
"677 [ 37, 11 ] qs qh"	32668	65.34%
"1249 [ 50, 24 ] qc qd"	32638	65.28%
"690 [ 37, 24 ] qs qd"	32593	65.19%
"1199 [ 49, 23 ] jc jd"	30944	61.89%
"653 [ 36, 23 ] js jd"	30937	61.87%
"263 [ 23, 10 ] jd jh"	30908	61.82%
"640 [ 36, 10 ] js jh"	30878	61.76%
"1186 [ 49, 10 ] jc jh"	30786	61.57%
"1212 [ 49, 36 ] jc js"	30647	61.29%
"240 [ 22, 9 ] td th"	29149	58.30%
"604 [ 35, 9 ] ts th"	29065	58.13%
"1137 [ 48, 9 ] tc th"	29029	58.06%
"617 [ 35, 22 ] ts td"	29018	58.04%
"1150 [ 48, 22 ] tc td"	28851	57.70%
"1163 [ 48, 35 ] tc ts"	28850	57.70%
"569 [ 34, 8 ] 9s 9h"	27151	54.30%
"1089 [ 47, 8 ] 9c 9h"	27096	54.19%
"582 [ 34, 21 ] 9s 9d"	27091	54.18%
"1115 [ 47, 34 ] 9c 9s"	26978	53.96%
"218 [ 21, 8 ] 9d 9h"	26944	53.89%
"1102 [ 47, 21 ] 9c 9d"	26892	53.78%
"729 [ 38, 26 ] ks as"	26040	52.08%
"313 [ 25, 13 ] kd ad"	25997	51.99%
"66 [ 12, 0 ] kh ah"	25980	51.96%
