"754 [ 39, 13 ] ac ad"	24899	49.80%
"741 [ 39, 0 ] ac ah"	24741	49.48%
"767 [ 39, 26 ] ac as"	24713	49.43%
"325 [ 26, 0 ] as ah"	24688	49.38%
"338 [ 26, 13 ] as ad"	24677	49.35%
"78 [ 13, 0 ] ad ah"	24670	49.34%
"312 [ 25, 12 ] kd kh"	21859	43.72%
"728 [ 38, 25 ] ks kd"	21842	43.68%
"1313 [ 51, 38 ] kc ks"	21651	43.30%
"1287 [ 51, 12 ] kc kh"	21571	43.14%
"1300 [ 51, 25 ] kc kd"	21566	43.13%
"715 [ 38, 12 ] ks kh"	21537	43.07%
"677 [ 37, 11 ] qs qh"	19407	38.81%
"690 [ 37, 24 ] qs qd"	19213	38.43%
"1236 [ 50, 11 ] qc qh"	19158	38.32%
"1262 [ 50, 37 ] qc qs"	19140	38.28%
"1249 [ 50, 24 ] qc qd"	19114	38.23%
"287 [ 24, 11 ] qd qh"	19059	38.12%
"263 [ 23, 10 ] jd jh"	17167	34.33%
"653 [ 36, 23 ] js jd"	17073	34.15%
"1199 [ 49, 23 ] jc jd"	17063	34.13%
"1186 [ 49, 10 ] jc jh"	17053	34.11%
"1212 [ 49, 36 ] jc js"	17047	34.09%
"640 [ 36, 10 ] js jh"	17035	34.07%
"66 [ 12, 0 ] kh ah"	16339	32.68%
"313 [ 25, 13 ] kd ad"	16243	32.49%
"729 [ 38, 26 ] ks as"	16164	32.33%
"1314 [ 51, 39 ] kc ac"	16092	32.18%
"1163 [ 48, 35 ] tc ts"	15536	31.07%
"617 [ 35, 22 ] ts td"	15450	30.90%
"289 [ 24, 13 ] qd ad"	15414	30.83%
"1264 [ 50, 39 ] qc ac"	15356	30.71%
"604 [ 35, 9 ] ts th"	15349	30.70%
"240 [ 22, 9 ] td th"	15330	30.66%
"55 [ 11, 0 ] qh ah"	15304	30.61%
"1150 [ 48, 22 ] tc td"	15302	30.60%
"692 [ 37, 26 ] qs as"	15284	30.57%
"1137 [ 48, 9 ] tc th"	15238	30.48%
"740 [ 38, 37 ] ks qs"	14874	29.75%
"1325 [ 51, 50 ] kc qc"	14853	29.71%
"77 [ 12, 11 ] kh qh"	14847	29.69%
"656 [ 36, 26 ] js as"	14838	29.68%
"90 [ 13, 12 ] ad kh"	14784	29.57%
"324 [ 25, 24 ] kd qd"	14763	29.53%
"266 [ 23, 13 ] jd ad"	14680	29.36%
"1288 [ 51, 13 ] kc ad"	14648	29.30%
"1215 [ 49, 39 ] jc ac"	14637	29.27%
"766 [ 39, 25 ] ac kd"	14624	29.25%
"45 [ 10, 0 ] jh ah"	14599	29.20%
"300 [ 25, 0 ] kd ah"	14589	29.18%
"753 [ 39, 12 ] ac kh"	14572	29.14%
"1301 [ 51, 26 ] kc as"	14531	29.06%
"350 [ 26, 25 ] as kd"	14517	29.03%
"76 [ 12, 10 ] kh jh"	14477	28.95%
"703 [ 38, 0 ] ks ah"	14477	28.95%
"716 [ 38, 13 ] ks ad"	14476	28.95%
"779 [ 39, 38 ] ac ks"	14466	28.93%
"1275 [ 51, 0 ] kc ah"	14388	28.78%
"1324 [ 51, 49 ] kc jc"	14310	28.62%
"36 [ 9, 0 ] th ah"	14301	28.60%
"337 [ 26, 12 ] as kh"	14300	28.60%
"1167 [ 48, 39 ] tc ac"	14232	28.46%
"621 [ 35, 26 ] ts as"	14186	28.37%
"739 [ 38, 36 ] ks js"	14098	28.20%
"244 [ 22, 13 ] td ad"	14056	28.11%
"1274 [ 50, 49 ] qc jc"	14054	28.11%
"323 [ 25, 23 ] kd jd"	14048	28.10%
"65 [ 11, 10 ] qh jh"	13874	27.75%
"299 [ 24, 23 ] qd jd"	13830	27.66%
"1323 [ 51, 48 ] kc tc"	13794	27.59%
"679 [ 37, 13 ] qs ad"	13783	27.57%
"349 [ 26, 24 ] as qd"	13777	27.55%
"702 [ 37, 36 ] qs js"	13768	27.54%
"75 [ 12, 9 ] kh th"	13763	27.53%
"778 [ 39, 37 ] ac qs"	13761	27.52%
"765 [ 39, 24 ] ac qd"	13753	27.51%
"738 [ 38, 35 ] ks ts"	13708	27.42%
"1089 [ 47, 8 ] 9c 9h"	13686	27.37%
"1225 [ 50, 0 ] qc ah"	13676	27.35%
"1251 [ 50, 26 ] qc as"	13670	27.34%
"666 [ 37, 0 ] qs ah"	13637	27.27%
"276 [ 24, 0 ] qd ah"	13636	27.27%
"1115 [ 47, 34 ] 9c 9s"	13636	27.27%
"752 [ 39, 11 ] ac qh"	13622	27.24%
"1238 [ 50, 13 ] qc ad"	13622	27.24%
"322 [ 25, 22 ] kd td"	13591	27.18%
